2019-05-26 18:16:13,079 [   7217]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-05-26 18:16:13,079 [   7217]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-05-26 18:16:13,821 [   7959]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-05-26 18:16:13,852 [   7990]   WARN - com.intellij.util.xmlb.Binding - no accessors for interface com.intellij.openapi.extensions.PluginDescriptor 
2019-05-26 18:16:13,875 [   8013]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-05-26 18:16:13,890 [   8028]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-05-26 18:16:14,004 [   8142]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-05-26 18:16:14,193 [   8331]   INFO - j.ide.ui.OptionsTopHitProvider - 750 ms spent to cache options in application 
2019-05-26 18:16:14,193 [   8331]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 749 ms 
2019-05-26 18:16:17,920 [  12058]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 3725 ms 
2019-05-26 18:16:18,213 [  12351]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 291 ms 
2019-05-26 18:16:18,479 [  12617]   INFO - .openapi.application.Preloader - com.intellij.codeInsight.completion.CompletionPreloader took 265 ms 
2019-05-26 18:16:18,484 [  12622]   INFO - .openapi.application.Preloader - com.intellij.ide.actions.GotoClassPresentationUpdater took 3 ms 
2019-05-26 18:16:18,891 [  13029]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:4796, number of extensions:40 
2019-05-26 18:16:18,913 [  13051]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:21 
2019-05-26 18:16:18,936 [  13074]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-05-26 18:16:18,991 [  13129]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-05-26 18:16:18,999 [  13137]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-05-26 18:16:19,017 [  13155]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-05-26 18:16:19,038 [  13176]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:101, number of extensions:74 
2019-05-26 18:16:19,042 [  13180]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:4 
2019-05-26 18:16:19,108 [  13246]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-05-26 18:16:19,112 [  13250]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
